ID,Formula,Name/Details
4304410,- C71 H106 Fe2 N4 O3 -,
4306822,- C110 H166 Cl8 Cu12 N36 O109 -,
4306823,- C36 H62 Cl2 Cu N12 O33 -,
4307247,- C14 H22 Cl2 O Ru S2 -,
4307249,- C14 H21 N O Ru S4 -,
4307250,- C16 H25 N O Ru S4 -,
4307251,- C34 H41.5 Cl2 N2.5 O0.5 P Ru S2 -,
4307253,- C32 H37 O P Ru S2 -,
4307254,- C14 H21 N O Ru S2 -,
4308429,- C73 H140 Cl4 N16 Ni4 O24 -,
4308660,- C38 H51 Al N2 O3 -,
4308661,- C24 H30 N4 O6 -,
4308662,- C45 H40 Al2 Cl2 N4 O4 -,
4308663,- C38 H55 Al N2 O2 -,
4308664,- C41 H57 Al N2 O3 -,
4311207,- C36 H46 N2 O2 Sn -,
4311208,- C36 H52 N2 O2 Sn -,
4311209,- C33 H47 Cl5 N2 O2 Sn -,
4311210,- C37 H48 Br2 Cl2 N2 O2 Sn -,
4311211,- C43 H51 Br2 N2 O2 Sn -,
4311212,- C36 H50 Cl4 F6 N2 O8 S2 Sn -,
4312839,- C H4 K6.5 Na4.5 O72 P2 W18 Y3 -,
4315119,- C61.8 H43.6 Cl3.6 N6 Ni O14 P2 Re2 S8 -,
4315120,- C20.5 H15 Cl N3 O4 Re S2 -,
4316042,- C16 H43 Dy N12 O27 -,
4316043,- C9 H52 Er N15 O23 -,
4317647,- C42 H77 Cl2 Co2 N6 O14 S2 -,
4317648,- C66 H90 B Co2 N7 O2 S2 -,
4317649,- C40 H67 Co2 I6 N6 O2 S2 -,
4317650,- C75 H97 B Co2 N8 O2 S2 -,
4317651,- C49 H77 Cl2 Co2 N6 O11 S2 -,
4317652,- C49 H80 Cl3 Co2 N7 O17 S2 -,
4319853,- C16 H32 As Co F6 N4 O3 -,
4319854,- C16 H35 Br4 Co N4 O4 Zn -,
4319855,- C15 H34 As Co F6 N4 O5 S -,
4321254,- C16 H168 Co6 K2 N36 Nd4 O78 -,
4322830,- C11 H66 Na14 O66 Pu2 -,
4323807,- C62 H60 Al2 B2 Cl4 N12 O2 -,
4323901,- C29 H28 Cl2 O3 P2 Pt -,
4323902,- C28 H26 O3 P2 Pt -,
4325688,- C46 H72 Al2 N2 O4 -,
4325689,- C44 H72 Al2 N2 O4 Si2 -,
4325690,- C40 H64 Al2 N2 O4 -,
4325691,- C40 H64 Al2 N2 O4 -,
4325692,- C44 H72 Al2 Cl4 N2 O4 -,
4325693,- C42 H48 Al2 N2 O8 -,
4325694,- C132 H124 Al4 B2 F48 N4 O10 -,
4325695,- C150 H145 Al4 B2 Cl18 F48 N4 O18 -,
4328862,- C64.5 H98 Cl7 Gd6 N14 O38 -,
4328863,- C64.5 H98 Cl7 N14 O38 Tb6 -,
4328864,- C64.5 H98 Cl7 Dy6 N14 O38 -,
4331469,- C19 H18 Cl Co N4 O8 -,
4331470,- C20 H20 Cl Co N4 O10 -,
4331471,- C21 H22 Cl Co N4 O7 -,
4331472,- C22 H24 Cl Co N4 O7 -,
4331473,- C21 H23 Cl4 Co N4 O6 Zn -,
4331742,- C45.5 H46.5 Cl N0.5 O2 P2 Ru S4 -,
4331744,- C44 H46 F6 O3 P3 Ru S4 -,
4334056,- C68 H104 Cd6 Cl2 N12 O15 S12 -,
4338993,- C4 H8 Ni O16 Ru2 en lv so t -,
4340181,- C42 H40 F6 O2 P3 Ru S4 -,
4340182,- C42 H40 O2 P2 Ru S4 -,
4340281,- C35 H42 Br3 N7 Ni2 O9 -,
4340282,- C38.5 H38.75 Br4 N6.25 Ni2 O7 -,
4340283,- C60.5 H67 Br6 N9 Ni4 O13.5 -,
4342323,- C8 H16 Cl Co Eu O6 -,
4343013,- C50 H90 N8 Ni4 O21 -,
4343014,- C34 H54 N8 Ni4 O16 -,
4343015,- C52 H87 Cl N6 Ni6 O33 -,
4343168,- C3 H3 B O16 Pb7 -,
4343764,- C H12 Ca O9 -,
4344311,- C H18 N4 O7 Pt2 -,
4344957,- C6 H24 K8 O34 Pu2 -,
4347393,- C H84 Na11 O116 P2 W18 Y3 -,
4347394,- C H84 Na11 O116 P2 Tb3 W18 -,
4347395,- C H84 Dy3 Na11 O116 P2 W18 -,
4347396,- C H84 Ho3 Na11 O116 P2 W18 -,
4347397,- C H84 Er3 Na11 O116 P2 W18 -,
4347605,- C6 H8 Ca O7 -,
4349119,- C127 H204 Cu29 N60 O37 S -,
4349919,- C8.7 H11.3 Cu N5.9 O0.9 -,
4349920,- C8.4 H10.6 N5.8 Ni O0.8 -,
4349921,- C8.7 H11.3 N5.9 O0.9 Zn -,
4349938,- C16 H46 N14 O19 Th -,
4349939,- C14 H32 Er N11 O12 -,
4500428,- C9 H12 Ca O10 -,
4502000,- C164 H218 Gd8 N24 Na16 O121 -,
4503930,- C10 H3 F5 O3 -,
4503931,- C10 H3 F5 O3 -,
4506683,- C75 H147 N12 O18 -,
4506684,- C51 H122 N14 O19 -,
4506685,- C26 H49 N5 O6 -,
4506686,- C66 H141 N19 O20 -,
4507979,- C13 H18 N2 O5 -,
4509099,- C222 H192 Co9 N72 O51 -,
4509100,- C162 H174 Co9 N72 O48 -,
